2011-04-25 17:53:31 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2011-04-25 17:53:31 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2011-04-25 17:53:31 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2011-04-25 17:53:31 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/adriencanterot/Sites/Cahier/cake/libs/debugger.php:673) in [/Users/adriencanterot/Sites/Cahier/cake/libs/controller/controller.php, line 742]
2011-04-25 18:05:13 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to local MySQL server through socket '/Applications/MAMP/tmp/mysql/mysql.sock' (2) in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
2011-04-25 18:05:13 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2011-04-25 18:05:13 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2011-04-25 18:05:13 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2011-04-25 18:05:13 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/adriencanterot/Sites/Cahier/cake/libs/debugger.php:673) in [/Users/adriencanterot/Sites/Cahier/cake/libs/controller/controller.php, line 742]
2011-04-25 18:09:17 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to local MySQL server through socket '/Applications/MAMP/tmp/mysql/mysql.sock' (2) in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
